-----------------------------------------------------------------------------------
|Genre                                             |Year           |Prise          |
|Action                                            |2009           |1070.7409345794392|
|Action                                            |2009           |675.0          |
|Puzzel                                            |2009           |550.4557777777777|
|Action                                            |2009           |591.4133333333333|
|Action                                            |2009           |591.4133333333333|
|Action                                            |2009           |675.0          |
|Action                                            |2010           |591.4133333333333|
|Strategy                                          |2006           |591.4133333333333|
|Strategy                                          |2006           |904.4130769230771|
|Puzzel                                            |2007           |591.4133333333333|
|Action                                            |2007           |550.4557777777777|
|Puzzel                                            |2007           |675.0          |
|Puzzel                                            |2007           |904.4130769230771|
|Action                                            |2007           |675.0          |
|Action                                            |2011           |997.582403433476|
|Action                                            |2007           |1415.6186170212768|
|Strategy                                          |2007           |904.4130769230771|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |363.7270833333334|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |591.4133333333333|
|Action                                            |2007           |904.4130769230771|
|Action                                            |2007           |997.582403433476|
|Action                                            |2007           |997.582403433476|
|Action                                            |2007           |904.4130769230771|
|Action                                            |2007           |1070.7409345794392|
|Puzzel                                            |2007           |591.4133333333333|
|Puzzel                                            |2008           |591.4133333333333|
|Puzzel                                            |2007           |904.4130769230771|
|Puzzel                                            |2007           |550.4557777777777|
|Puzzel                                            |2007           |363.7270833333334|
|Puzzel                                            |2010           |550.4557777777777|
|Action                                            |2009           |904.4130769230771|
|Puzzel                                            |2011           |904.4130769230771|
|Strategy                                          |2011           |550.4557777777777|
|Strategy                                          |2007           |591.4133333333333|
|Strategy                                          |2007           |591.4133333333333|
|Strategy                                          |2007           |591.4133333333333|
|Strategy                                          |2007           |591.4133333333333|
|Strategy                                          |2008           |591.4133333333333|
|Strategy                                          |2008           |675.0          |
|Strategy                                          |2008           |904.4130769230771|
|Strategy                                          |2008           |363.7270833333334|
|Strategy                                          |2009           |363.7270833333334|
|Puzzel                                            |2009           |1625.2413043478257|
|Action                                            |2009           |904.4130769230771|
|Action                                            |2007           |904.4130769230771|
|Action                                            |2007           |550.4557777777777|
|Action                                            |2007           |904.4130769230771|
|Action                                            |2008           |904.4130769230771|
|Action                                            |2008           |550.4557777777777|
|Action                                            |2009           |591.4133333333333|
|Action                                            |2010           |591.4133333333333|
